users listening on port 3002
users request | id=16894513-f520-481f-a529-3749b2c37783 | GET /users/1 | status=200 | durationMs=0
users request | id=11369536-8dc7-4be4-b482-0736977751ca | GET /users/1 | status=200 | durationMs=0
users request | id=3a2173a9-36b3-4841-9256-e87ffe5fb1e9 | GET /users/1 | status=200 | durationMs=1
users request | id=5afd375c-57e9-412a-973f-12fa3c9ded19 | GET /users/1 | status=200 | durationMs=1
users request | id=0c3fc1bf-393d-45bd-9a7d-25220902d756 | GET /users/1 | status=200 | durationMs=1
users request | id=9c17c1c0-e4d8-4072-8b67-ffb5897405ba | GET /users/1 | status=200 | durationMs=1
users request | id=8f4e2e69-07db-47ef-a4a4-fa19bd530618 | GET /users/1 | status=200 | durationMs=0
users request | id=19514480-2c61-423d-bdaa-e0eb7217d138 | GET /users/1 | status=200 | durationMs=0
users request | id=4f555606-29ee-4325-a111-34071bc8db19 | GET /users/1 | status=200 | durationMs=1
users request | id=56b45b9e-a8f4-4b70-9bb5-c4dfe9b1032e | GET /users/1 | status=200 | durationMs=0
users request | id=8eaeaa08-c9a2-40eb-9db8-6b0e1a9b897a | GET /users/1 | status=200 | durationMs=0
users request | id=a8d47df8-d991-4b39-ae75-5c73c95242e9 | GET /users/1 | status=200 | durationMs=0
users request | id=1360e4ec-33e2-4aad-9d7e-1d253a0e6b65 | GET /users/1 | status=200 | durationMs=0
users request | id=36e8ff0c-31ac-4b8c-b415-aecf73562a61 | GET /users/1 | status=200 | durationMs=1
users request | id=a80d4264-f6f8-4ea8-bac0-cdc3a9da03b2 | GET /users/1 | status=200 | durationMs=0
users request | id=82186a10-29c0-4dc5-89b9-4f91289e83e2 | GET /users/1 | status=200 | durationMs=0
users request | id=1247c737-8ff0-4c3d-9bd1-7967c9885a3d | GET /users/1 | status=200 | durationMs=0
users request | id=87a8b1d6-5537-4c9d-8c56-54c0bf501874 | GET /users/1 | status=200 | durationMs=0
users request | id=72fff8fb-1c3a-4224-afce-698584505f67 | GET /users/1 | status=200 | durationMs=0
users request | id=0a3de782-51c1-4d3c-8dc1-36a9a2fc1142 | GET /users/1 | status=200 | durationMs=0
users request | id=45b97068-bd00-4846-82c6-b07fabd5ae8e | GET /users/1 | status=200 | durationMs=1
users request | id=3afa703d-dcdf-41d9-8450-2925983099b3 | GET /users/1 | status=200 | durationMs=1
users request | id=bd83e669-df44-4467-8486-264fb836c633 | GET /users/1 | status=200 | durationMs=1
users request | id=86743eed-8796-44ab-8374-1c543537db32 | GET /users/1 | status=200 | durationMs=1
users request | id=4dd17353-fad1-4d96-b484-63da94122de9 | GET /users/1 | status=200 | durationMs=0
users request | id=28ba73f3-f581-4f29-b89b-83febea64e7e | GET /users/1 | status=200 | durationMs=1
users request | id=d6bd4206-9202-4bf0-9b5a-3b3849b14918 | GET /users/1 | status=200 | durationMs=0
users request | id=75f3a419-3ba5-493d-b0df-074ccc902af2 | GET /users/1 | status=200 | durationMs=1
users request | id=a00bfd08-cb70-4db9-99fa-b7a58544a34f | GET /users/1 | status=200 | durationMs=1
users request | id=168712c1-d118-4375-b58d-ca0c3692d201 | GET /users/1 | status=200 | durationMs=0
users request | id=3ceac524-474f-4432-91e5-aecd8a38273f | GET /users/1 | status=200 | durationMs=0
users request | id=b94e02a6-1697-4e3f-812a-51b0965c350c | GET /users/1 | status=200 | durationMs=1
users request | id=14c5ebc5-4b79-4131-b415-5a0467cdb2e9 | GET /users/1 | status=200 | durationMs=0
users request | id=d04e8c38-9d14-4532-ac65-01a37b47acc0 | GET /users/1 | status=200 | durationMs=0
users request | id=3d196e18-8b8c-4bd4-8095-9e762d6e76cd | GET /users/1 | status=200 | durationMs=0
users request | id=bdcaffc0-b161-4721-9445-551bcf6adab0 | GET /users/1 | status=200 | durationMs=0
users request | id=cec585da-4c59-4e3c-9f15-6d63c79d4f6e | GET /users/1 | status=200 | durationMs=0
users request | id=3fd9a6f6-47f2-482e-ad68-f0a8d0064065 | GET /users/1 | status=200 | durationMs=0
