catalog cache disabled
catalog listening on port 3001
catalog request | id=1e5a2134-37dd-4348-a99f-c40b90bc12ad | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=778437da-cce9-45bb-ad55-243e2f45da4f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=af3c20cf-b302-4ac8-aee3-ea2dc72bee8c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9a2cdd13-dbee-4b62-a1cd-de96c89cd4fb | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2a3c9424-0ef4-46e7-9fb5-22b77daeb9ee | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7310b8c4-47ab-42b5-b27a-1dae83338730 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a66fcb8b-cb21-49ed-82c3-a3951371bc56 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=06a0b499-a023-4a52-8df1-575eaddb906d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=352e2e49-73f8-4f14-b372-cd4e507bc0f4 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=af2ff43a-fe87-4eb2-ad65-6468b46f3e3c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fc553ab6-085a-4264-87d1-8fe2bed32116 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e5882b29-8707-472b-9212-f7c83e4a800d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f65a2eab-ed2a-4a45-b677-33c93bfca6f8 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0912634e-fcb1-4c5e-90b2-019626315cdc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c6c7d479-a3bf-427c-8de1-2a6572c23967 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0bf47f5d-db4a-4b65-ae19-97eac89b41b1 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2c0fecc2-2c52-4bfd-9959-2daa88e526a0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=36bbb35c-833a-4b10-acdd-8dbb619fc1c7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e6a3a7d4-25d7-4b3f-b345-d33ebb37ca34 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3a0ee3cc-65e9-4a24-84ae-10145da1fe26 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=003ed0f4-0daa-42d5-86f8-5ad815445112 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0ea30923-2d85-48e0-a00c-7646b0c14f76 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=143381de-8c05-4b8f-8eda-a8021a3abb4b | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
