catalog cache disabled
catalog listening on port 3001
catalog request | id=bb60e4fd-85f2-48cb-a6b1-cb59627bb03f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d6acf327-d22e-4f8c-bbce-18b2fe8bfb58 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=361c1ddc-debe-4c76-b353-c876cc416765 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3ded83ef-900f-4ae3-b052-e463cbb18b54 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8df0a240-f500-4fb1-a29f-7120d032d21c | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2c7c993f-4603-407a-902e-77da560e0660 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=485d3755-c40a-4bd5-bdee-c0b4c6156b7d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5880e734-9a46-42c7-8ae0-6ec75e768254 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e0f05619-2893-4e6f-b1ca-cbdc7902dba0 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=4aa3b40c-48d3-4232-9ee8-83b9fe560c51 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=558a53a0-8dad-4d7a-aef3-e820b55d58a7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b98008ce-4590-42a4-8960-9b3060bd7855 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5cb3dbf4-c44d-4be8-99e9-bcd52e60878d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8ea8c730-0279-431c-8e41-cea8ce99e2c6 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=11180a57-7e09-433c-b35a-420b74ff04d8 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9a76fd13-79cc-4bc6-9764-5aac330a8ebf | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0dbc72d9-cc9b-45a3-b370-5aa84b1fb25d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6ef9d54c-019b-4895-b7a0-262fba135ea7 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=22229f6e-a523-4adc-8e92-96dd2621a14b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=001c0984-f8d9-474d-bfee-57fa92079c70 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=38c4537c-1d6c-4a21-801c-1d0b9da1e03e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=808165e6-42e9-4ab7-9b15-ff0ba76e6fe3 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
