catalog cache disabled
catalog listening on port 3001
catalog request | id=66dde112-7070-40a1-8a4c-be6e786eb78d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=eb92d44c-5be2-4750-afc0-2c200253b54e | GET /catalog | status=200 | durationMs=4 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5dc964d4-97b3-42ca-8797-52c4c9823185 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1dc35cc8-4320-4b61-95fd-a33f66a00c18 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2ee6ae98-7526-4163-9ca7-1a3f093b26a1 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e73f8417-0d98-4914-b938-e8d629e695fb | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=924eabf7-965b-48c6-89b8-7194628fef10 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e2799433-49e3-4307-b127-c30e46a52619 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9c74aca3-72b0-4440-8164-bed6765eeb55 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=229247ac-c2c5-4377-b98e-4ab54480c3ff | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=dc923623-a8b5-48f5-b966-75468a49cc38 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=93bd1161-7fe3-43f8-b415-a8c45f3e9991 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=f59baa0a-97fb-4070-a927-75ad0e01170e | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7d0a84b8-9283-4a25-bd9b-745f0b006c13 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d9aa7f50-fd31-4104-a47b-e93f60892298 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=801b0428-0a6d-4a73-b8e5-2e0e8e0c4f84 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3cf6ef42-4785-4f12-8322-6e9fb079b563 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=a3343477-7108-458d-adcd-49d87cfaaf4c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0cc32b68-7147-40dd-95d8-f003de347aab | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9480c103-586f-47b5-a425-7725326713d4 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b1a9ce20-19ac-4aaa-b05d-e978deb54181 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9012ef7d-8511-4acc-860c-f224c00052f0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7b849f10-9145-441a-a5f2-e1b1bc9cc269 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=5392102a-6a4f-45b0-9f9b-40c129c00904 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=66d84041-61d6-46de-bcee-924038ab6d12 | GET /catalog | status=200 | durationMs=3 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1293fcd5-df49-4b8e-9e2b-2c871657c3aa | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=680df6f6-1f53-4093-b166-d97255c308d0 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=acee4420-5bbb-466e-8a6c-54433522fcec | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=58a3f9f4-8355-4dbf-93d6-69f98b2fe05f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=192b2818-962c-41de-9558-aca06ee560c9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=13e516e4-96a0-4c20-a005-c6596e8ecdfc | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=3c5e4e7e-8750-4548-a9c8-20ca7d363822 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=fbe54af8-162b-40e7-a449-5d039af031eb | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=618f101f-a870-4fb3-baf4-d1b5b9bd1be2 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7e051f1f-5537-475c-9e19-ebf299330431 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e5a2aa8f-0b0b-4c3e-81fa-9d1ef6c15d9d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=360dd763-fa25-499c-8e91-bd13e08caa4f | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8ff44f9f-f5b2-4569-ae9c-bb4051634e5d | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=1dc87e96-88ca-4824-a3e6-c085145e6b36 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=bc33d0ab-e646-425b-aa7a-d46b965217b9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2f05d282-c20c-4374-9ae4-5d6c3944b170 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
