gateway listening on port 3000
gateway request | id=df95f99f-450b-4a09-988c-75e1ec355bd4 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d2ffe55d-92fc-44b5-8f20-49b2f90fe437 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=25f65183-3407-4179-aa14-0e01447d21cb | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=45d40b9e-1053-484d-805c-6889bbfcf90a | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=297974c8-2c46-4c88-aadf-5b20a09146dc | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=de85d969-735a-461e-95c4-5cabef633420 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ed4e54a6-107d-45c0-ba81-92b53b68b576 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1405bcaf-beec-4a90-9e7c-b9a87f1b394b | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c1f10197-5279-4681-8887-7933b7bfaa7f | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=98415f06-cb6b-45fc-bb98-0fde58aac0d6 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=c89f4f32-02f4-4d8d-a7a8-6f5b646c1748 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=560ed1f1-2243-41d2-9081-2dfde4d4de10 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=64f4baff-6910-42e6-a07a-6a73293c59bd | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4927115f-942b-476c-bf1f-602d67eff1d6 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9aa14b7c-4389-4a9d-af11-6b3d6922334a | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=5e08a2d9-8138-49b9-9435-afda2c786a25 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=d716653b-34da-43ef-80e3-75aacf13e1e0 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=07b78dfb-dc36-410f-ab5f-5df43d272f54 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=72bebdb8-fe6e-4590-b418-1a179d430a5e | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=cd3a9c38-8faa-40b1-a7a4-3c1ff2196a1b | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=fa334ea5-60fb-482f-9264-7e53480d25e3 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0c9bfbcd-f7bc-4ecb-b4cc-70c66498bfd5 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a86db481-cb04-4fbd-aa5c-93c2ecfd2298 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=dc2a544c-6f44-44cc-9c2f-8e42bc2fdd38 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=0a107f5e-b7c7-4777-b386-ecda5c68571c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=cc14b94f-4246-4d12-93d5-e2caaff026b1 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=a1c89b0f-cf7c-4915-a05b-a67a56f12591 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=1ae1a806-0e10-42d7-8a28-3d2944e77a0f | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8acb717d-45b6-4199-9058-c6f1cd324167 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=28aa0614-5895-4931-91cf-e7b9ea91eabf | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=69fd8c2d-c6cc-4a5c-b033-a9b8c5475cc4 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=7e783a4e-9941-4b6d-97d7-6c99e3ba15a9 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=05cc8ba5-f26d-4d89-b37e-000af2128801 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=e55f1b00-d19c-49f5-9cfe-d937bcda0c6f | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=ff273d88-43de-412f-9efe-472a1ed10810 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=4b1a0f05-abab-447d-9cc6-a98b62e8253c | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3243b80c-fa9f-4696-9510-3c80fe85afbf | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2033254d-a4a3-470a-b013-17183239f82e | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6ed20554-f6da-4162-abc7-c75f53877d9c | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=31ea6e6f-411a-4911-ad11-b87280e4c952 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=66db0192-b8b2-40f2-b9ae-1752f741eaa7 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=128c6b8c-58f7-4b77-90f0-15a823810690 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b43a9506-173a-4305-b03a-d04d13c61828 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=62694bd3-1461-4d33-8ad6-efc121138959 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=2603fade-b91a-4309-a69a-3d3131db0613 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=73dcbcef-af34-4326-b416-2e6eed49088c | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=81d871ef-3bee-45ff-8b87-cc9f2f1a775d | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=b0d54e8a-27cb-4522-bb6b-99950e20281d | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=3eb9e86d-7df2-4395-bc4d-36ac3a6becff | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=9a5d01df-9998-4008-b07d-0250ef421aa3 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=6afdb4cc-094e-4936-9e76-51b6d549e228 | GET /api/catalog | status=200 | durationMs=3 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=df636864-8660-4769-ae0d-eaca782a88fd | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
gateway request | id=8c712c22-fb67-4f43-98fb-a8c714e72114 | GET /api/catalog | status=200 | durationMs=2 | upstream=catalog | cache=MISS | source=dataset
