users listening on port 3002
users request | id=5297332f-4bd6-4743-aaa3-62d7b3b74f83 | GET /users/1 | status=200 | durationMs=0
users request | id=d9126a47-89da-4d3e-b79b-14e3baccdb2f | GET /users/1 | status=200 | durationMs=1
users request | id=138ae44c-5fd2-467b-9f93-4dbe5a267a67 | GET /users/1 | status=200 | durationMs=0
users request | id=d320f95c-b301-4d5b-8226-ad68356759dc | GET /users/1 | status=200 | durationMs=0
users request | id=91ced641-7d06-445c-a510-21673faa6d5d | GET /users/1 | status=200 | durationMs=1
users request | id=6516dfde-9517-4b01-ba53-9933558a84ce | GET /users/1 | status=200 | durationMs=1
users request | id=3e231046-73c7-4ab3-b6b9-746c500ae02b | GET /users/1 | status=200 | durationMs=1
users request | id=ef16d078-01fa-4f76-add2-533a54400032 | GET /users/1 | status=200 | durationMs=0
users request | id=9df138f6-0336-4789-8c74-42cf109c3c45 | GET /users/1 | status=200 | durationMs=0
users request | id=a859a3de-0d60-4672-861b-8dae064fdc45 | GET /users/1 | status=200 | durationMs=1
users request | id=410c4c7a-677a-405f-aa46-aa967960688a | GET /users/1 | status=200 | durationMs=1
users request | id=54b9ae89-8f20-43bc-8432-ea2e5a5b9479 | GET /users/1 | status=200 | durationMs=1
users request | id=f76a83fe-1969-4125-8c18-e4fb0aafb491 | GET /users/1 | status=200 | durationMs=1
users request | id=49947530-638a-44a6-a376-c822dca99c2b | GET /users/1 | status=200 | durationMs=1
users request | id=3660c267-c272-4a28-90c9-1156a7c3430b | GET /users/1 | status=200 | durationMs=1
users request | id=dc46ef13-2f21-4d04-b52b-90a951e7e4cd | GET /users/1 | status=200 | durationMs=0
users request | id=baaeafff-a214-4ec3-aaaf-4281b8b68c73 | GET /users/1 | status=200 | durationMs=1
users request | id=3ff90836-5884-49c9-b5da-3b6303fbf461 | GET /users/1 | status=200 | durationMs=0
users request | id=9be9b61e-3573-4732-a99f-33791d833f83 | GET /users/1 | status=200 | durationMs=1
users request | id=3018c464-523f-4e29-be99-4c55242760bc | GET /users/1 | status=200 | durationMs=0
users request | id=7d7b81ac-2812-447b-bf12-c33f684174ef | GET /users/1 | status=200 | durationMs=1
users request | id=57f1c29a-4a63-4594-9a9c-d74b55f864ce | GET /users/1 | status=200 | durationMs=0
users request | id=73d9e3cf-bfd6-4f19-8486-67caf03ad7ba | GET /users/1 | status=200 | durationMs=0
users request | id=83961665-0a88-4d1e-82fd-b5f5ae328ac4 | GET /users/1 | status=200 | durationMs=0
users request | id=e11dc352-48c6-4ff7-8f9f-58568140d6b5 | GET /users/1 | status=200 | durationMs=0
