
> users@1.0.0 start
> node src/server.js

users listening on port 3002
users request | id=6cfbaad4-7bec-413b-abbc-cf4a6dde7952 | GET /users/1 | status=200 | durationMs=0
users request | id=d3fb4c49-6499-4f3b-a95d-d4b1c544bd28 | GET /users/1 | status=200 | durationMs=0
users request | id=2da3b242-0ecf-4c2e-a159-86770e14ee37 | GET /users/1 | status=200 | durationMs=0
users request | id=a567fdd1-2c82-43e8-aa3e-6ce41f3a7608 | GET /users/1 | status=200 | durationMs=0
users request | id=2062d511-87e4-4008-9874-bf11c0a1a6ed | GET /users/1 | status=200 | durationMs=0
users request | id=e8e54c7b-9c15-4648-88a8-9041862b5b70 | GET /users/1 | status=200 | durationMs=0
users request | id=2e74faaa-9262-4906-b5ad-fbf6edec9e00 | GET /users/1 | status=200 | durationMs=1
users request | id=d80fe39e-2a8a-494b-81ab-d97c5385ddc0 | GET /users/1 | status=200 | durationMs=0
users request | id=ef46e0cb-886f-499d-a854-551e058ee13e | GET /users/1 | status=200 | durationMs=0
users request | id=644d99a7-fce5-468c-bea6-bf889df5fdd3 | GET /users/1 | status=200 | durationMs=0
users request | id=780c79ee-522f-4063-85bd-b5359c6e148d | GET /users/1 | status=200 | durationMs=0
users request | id=ceff041c-c123-4fde-bd60-e79c5bc003f8 | GET /users/1 | status=200 | durationMs=0
users request | id=84ff477b-0be6-4820-91e9-45fc29084d16 | GET /users/1 | status=200 | durationMs=0
users request | id=23bfc751-f825-406d-b0bb-e6512c08ec15 | GET /users/1 | status=200 | durationMs=0
users request | id=856ddd39-8fe8-49ce-bdc6-df4312a45d32 | GET /users/1 | status=200 | durationMs=1
users request | id=a87468dc-f63b-4572-88c1-17e4119bfe26 | GET /users/1 | status=200 | durationMs=0
users request | id=116e5196-ee94-405b-ad6f-edca7e73b84a | GET /users/1 | status=200 | durationMs=0
users request | id=f886ec39-c2d7-4d6f-ae74-2982c74b7d2a | GET /users/1 | status=200 | durationMs=0
users request | id=4066cb8b-8840-4e53-ab63-edf732bb8b05 | GET /users/1 | status=200 | durationMs=0
users request | id=a3be7dab-8b76-424b-bbd7-dab6e11df16a | GET /users/1 | status=200 | durationMs=0
users request | id=421c64ed-8bbd-41be-84ed-9d149eeecfa2 | GET /users/1 | status=200 | durationMs=0
users request | id=4047c31f-4db0-42e8-858b-8e6910685cce | GET /users/1 | status=200 | durationMs=1
users request | id=fbb121d3-69f1-4ec0-b4b3-08ebeef6308f | GET /users/1 | status=200 | durationMs=0
users request | id=07d13f2e-5159-4370-8e1e-100c342e7129 | GET /users/1 | status=200 | durationMs=0
users request | id=68b385e5-99a1-46c3-9e7c-ce781d7d2e57 | GET /users/1 | status=200 | durationMs=0
