catalog cache disabled
catalog listening on port 3001
catalog request | id=1ccd8fc0-2e8d-424b-90e4-40ccdb177e9d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=658e8538-a416-45ce-9ece-41eda224aa65 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=8717bf60-919b-4925-9a41-2deda419241f | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7e9abcf2-bd2f-427e-873f-d9a8a989640d | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7e2e5e12-c42a-4e8b-8b79-a30132dc3033 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=848a937f-c363-4428-a877-39166f582b03 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=03935c4f-58da-4169-bf99-5a7fd3adb209 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=6d0c3ad5-4a10-427c-a7e2-e4d5950c1079 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=33b1ae64-7aff-40fb-8088-9ab74eeaa380 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d43e7acd-078c-4ad3-bdfa-f281d9eab431 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=75a062cb-95b9-44b8-a290-88eef1af282b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=e81f7840-7ba7-4760-8501-8a2dff84f79a | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0a94e6fa-d136-4a10-a241-613434a4b556 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=094ef614-b5a5-4d9c-bfff-0b430c26a442 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=ca4e1905-24c3-4529-955e-c87b60de383b | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=d8b7d21a-bdc3-48f6-8da4-5392e129d8ac | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=2679b8f6-b905-4d71-a09c-6219d08c612e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=0a029dcc-cec3-4dbe-95a5-1dfcb7226111 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=564d3e7d-71a8-4da2-bd6a-e80fd8d360b9 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=caa918d9-e647-438d-b9c5-40ac6a558385 | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=7280e4e0-1901-4f2f-9aa9-c15d0e27920c | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=9b0bba2d-1fca-4596-918a-d5e6c64654ad | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=b36bf2aa-5d9f-4704-8bf1-4eb9b53fd2fd | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=814519a8-5ddb-461d-88be-df936b684104 | GET /catalog | status=200 | durationMs=2 | cache=MISS | source=dataset | key=catalog:all
catalog request | id=c38316e2-ef41-4cce-8178-768f90cec37e | GET /catalog | status=200 | durationMs=1 | cache=MISS | source=dataset | key=catalog:all
