
> catalog@1.0.0 start
> node src/server.js

catalog redis connected at redis://127.0.0.1:6379
catalog listening on port 3001
catalog request | id=4816ed61-fa6b-4158-96e5-eb0036ae2230 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=f0e910de-0a92-4954-8178-284a597226d4 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=acf45fe5-1891-4881-9366-965259e6873d | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9ca4dd88-9478-4933-a5da-3ba9f680fedd | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c666d232-6c64-4cfa-a900-76bfff9b2049 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9c594267-4c9a-4c6f-ac8e-e9b8cc2ff6cf | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=1405b745-ab7d-47bd-9784-c86c6bde1e78 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c181f9db-84ed-4dc0-b334-d2daacd84d69 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=404f8930-2b2d-4857-a465-27b3a0f3ab03 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=100ac029-b434-44b0-b0e9-c9d7ce8f1135 | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=94dd8435-38ca-4164-be10-d2232198a719 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=4e7f42e4-56e6-4b56-b2d9-84d570fd879d | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=64d2bbbf-cdf2-4d9f-873c-9270b61566fe | GET /catalog | status=200 | durationMs=3 | cache=HIT | source=redis | key=catalog:all
catalog request | id=bd280c19-be43-41a3-a5ff-41b2d4077eb2 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=c4339c2b-86df-407e-a462-82cb9dcfaefb | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
catalog request | id=805c04e2-2a57-4d31-84f3-7f009f3223d0 | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=f633db38-9389-4dc4-8395-d5304660347a | GET /catalog | status=200 | durationMs=1 | cache=HIT | source=redis | key=catalog:all
catalog request | id=9452fbf5-068f-41f5-8586-56c7a35436db | GET /catalog | status=200 | durationMs=2 | cache=HIT | source=redis | key=catalog:all
