gateway listening on port 3000
gateway request | id=45f6cafd-bf22-4752-a49c-ce624086b07b | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f53afcd3-810b-426a-89e6-8a9106da49fe | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=23f586c4-7b6d-473d-b682-811dade8449b | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=fd11fdee-260f-4b03-8208-feff616c8788 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=29b0f45f-9985-4263-84c8-0083463599d2 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=f649e577-bc46-40c0-9e22-7fdbf7e878a4 | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7a4a2d71-bf7c-4e6c-9758-f8b91e2872ae | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e5e4c735-79ad-4efc-8af5-54c4caf08b04 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=2edb2bcc-1210-4cc4-bf28-7787ac39b2cd | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=7e07f229-7661-46b1-80a4-24cae8c9cdf9 | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5667e073-3c87-4da3-b78b-2f3dff124f44 | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ce898f60-a843-4f33-a6ea-2c2d5b84a437 | GET /api/catalog | status=200 | durationMs=7 | upstream=catalog | cache=HIT | source=redis
gateway request | id=9a2e2903-1056-4fbb-8caf-93f2847341d1 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=5ccff3e2-d49d-4656-9940-1a61ef5430eb | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=a501412c-8191-4d20-81b7-b6a665a195ed | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=e5fc4c0f-8896-4650-971d-c8b0a76406da | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=182ed11e-f109-4e5d-b475-1e6063652e0c | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=d5c54dc4-f33f-4339-94f3-459e71d14ddc | GET /api/catalog | status=200 | durationMs=4 | upstream=catalog | cache=HIT | source=redis
gateway request | id=6540a351-9f53-4539-985b-5ba6ba5a19e9 | GET /api/catalog | status=200 | durationMs=5 | upstream=catalog | cache=HIT | source=redis
gateway request | id=394e9efa-42fd-46d3-8ae6-032a835ac1ca | GET /api/catalog | status=200 | durationMs=6 | upstream=catalog | cache=HIT | source=redis
gateway request | id=ab585842-7f7d-44d3-adcb-d1675bd8ee1e | GET /api/catalog | status=200 | durationMs=8 | upstream=catalog | cache=HIT | source=redis
